"""LNC""",56.31,"""11/19/2014""","""4:00pm""
"
"""LO""",62.84,"""11/19/2014""","""4:00pm""
"
"""LOW""",62.255,"""11/19/2014""","""4:00pm""
"
"""LRCX""",78.51,"""11/19/2014""","""4:00pm""
"
"""LUK""",24.25,"""11/19/2014""","""4:00pm""
"
"""LUV""",39.26,"""11/19/2014""","""4:00pm""
"
"""LYB""",89.35,"""11/19/2014""","""4:00pm""
"
"""M""",61.97,"""11/19/2014""","""4:00pm""
"
"""MA""",84.28,"""11/19/2014""","""4:00pm""
"
"""MAC""",76.505,"""11/19/2014""","""4:00pm""
"
"""MAR""",76.38,"""11/19/2014""","""4:00pm""
"
"""MAS""",23.41,"""11/19/2014""","""4:00pm""
"
"""MAT""",31.09,"""11/19/2014""","""4:00pm""
"
"""MCD""",96.58,"""11/19/2014""","""4:00pm""
"
"""MCHP""",43.15,"""11/19/2014""","""4:00pm""
"
"""MCK""",206.27,"""11/19/2014""","""4:00pm""
"
"""MCO""",100.60,"""11/19/2014""","""4:00pm""
"
"""MDLZ""",39.10,"""11/19/2014""","""4:00pm""
"
"""MDT""",71.78,"""11/19/2014""","""4:00pm""
"
"""MET""",54.82,"""11/19/2014""","""4:00pm""
"
"""MHFI""",91.10,"""11/19/2014""","""4:00pm""
"
"""MHK""",145.97,"""11/19/2014""","""4:00pm""
"
"""MJN""",102.66,"""11/19/2014""","""4:00pm""
"
"""MKC""",72.78,"""11/19/2014""","""4:00pm""
"
"""MLM""",128.21,"""11/19/2014""","""4:00pm""
"
"""MMC""",55.75,"""11/19/2014""","""4:00pm""
"
"""MMM""",158.76,"""11/19/2014""","""4:00pm""
"
"""MNK""",85.97,"""11/19/2014""","""4:00pm""
"
"""MNST""",110.30,"""11/19/2014""","""4:00pm""
"
"""MO""",49.14,"""11/19/2014""","""4:00pm""
"
"""MON""",119.53,"""11/19/2014""","""4:00pm""
"
"""MOS""",47.60,"""11/19/2014""","""4:00pm""
"
"""MPC""",93.81,"""11/19/2014""","""4:00pm""
"
"""MRK""",59.64,"""11/19/2014""","""4:00pm""
"
"""MRO""",32.77,"""11/19/2014""","""4:00pm""
"
"""MS""",35.48,"""11/19/2014""","""4:00pm""
"
"""MSFT""",48.22,"""11/19/2014""","""4:00pm""
"
"""MSI""",65.93,"""11/19/2014""","""4:00pm""
"
"""MTB""",124.57,"""11/19/2014""","""4:00pm""
"
"""MU""",32.96,"""11/19/2014""","""4:00pm""
"
"""MUR""",51.63,"""11/19/2014""","""4:00pm""
"
"""MWV""",44.36,"""11/19/2014""","""4:00pm""
"
"""MYL""",55.68,"""11/19/2014""","""4:00pm""
"
"""NAVI""",20.71,"""11/19/2014""","""4:00pm""
"
"""NBL""",54.75,"""11/19/2014""","""4:00pm""
"
"""NBR""",15.81,"""11/19/2014""","""4:00pm""
"
"""NDAQ""",43.98,"""11/19/2014""","""4:00pm""
"
"""NE""",20.53,"""11/19/2014""","""4:00pm""
"
"""NEE""",103.73,"""11/19/2014""","""4:00pm""
"
"""NEM""",19.11,"""11/19/2014""","""4:00pm""
"
"""NFLX""",362.74,"""11/19/2014""","""4:00pm""
"
"""NFX""",33.13,"""11/19/2014""","""4:00pm""
"
"""NI""",40.95,"""11/19/2014""","""4:00pm""
"
"""NKE""",96.95,"""11/19/2014""","""4:00pm""
"
"""NLSN""",41.67,"""11/19/2014""","""4:00pm""
"
"""NOC""",137.51,"""11/19/2014""","""4:00pm""
"
"""NOV""",71.52,"""11/19/2014""","""4:00pm""
"
"""NRG""",31.30,"""11/19/2014""","""4:00pm""
"
"""NSC""",115.15,"""11/19/2014""","""4:00pm""
"
"""NTAP""",41.81,"""11/19/2014""","""4:00pm""
"
"""NTRS""",68.135,"""11/19/2014""","""4:00pm""
"
"""NU""",49.93,"""11/19/2014""","""4:00pm""
"
"""NUE""",53.70,"""11/19/2014""","""4:00pm""
"
"""NVDA""",20.01,"""11/19/2014""","""4:00pm""
"
"""NWL""",35.59,"""11/19/2014""","""4:00pm""
"
"""NWSA""",15.19,"""11/19/2014""","""4:00pm""
"
"""OI""",25.73,"""11/19/2014""","""4:00pm""
"
"""OKE""",56.84,"""11/19/2014""","""4:00pm""
"
"""OMC""",74.88,"""11/19/2014""","""4:00pm""
"
"""ORCL""",40.92,"""11/19/2014""","""4:00pm""
"
